"","Month","Team","Popularity"
"600","2008-09","Charlotte.Hornets",1
"601","2008-10","Charlotte.Hornets",2
"602","2008-11","Charlotte.Hornets",2
"603","2008-12","Charlotte.Hornets",2
"604","2009-01","Charlotte.Hornets",2
"605","2009-02","Charlotte.Hornets",2
"606","2009-03","Charlotte.Hornets",3
"607","2009-04","Charlotte.Hornets",2
"608","2009-05","Charlotte.Hornets",2
"609","2009-06","Charlotte.Hornets",2
"610","2009-07","Charlotte.Hornets",1
"611","2009-08","Charlotte.Hornets",1
"612","2009-09","Charlotte.Hornets",1
"613","2009-10","Charlotte.Hornets",2
"614","2009-11","Charlotte.Hornets",2
"615","2009-12","Charlotte.Hornets",2
"616","2010-01","Charlotte.Hornets",3
"617","2010-02","Charlotte.Hornets",3
"618","2010-03","Charlotte.Hornets",3
"619","2010-04","Charlotte.Hornets",4
"620","2010-05","Charlotte.Hornets",2
"621","2010-06","Charlotte.Hornets",2
"622","2010-07","Charlotte.Hornets",3
"623","2010-08","Charlotte.Hornets",1
"624","2010-09","Charlotte.Hornets",2
"625","2010-10","Charlotte.Hornets",2
"626","2010-11","Charlotte.Hornets",3
"627","2010-12","Charlotte.Hornets",5
"628","2011-01","Charlotte.Hornets",4
"629","2011-02","Charlotte.Hornets",5
"630","2011-03","Charlotte.Hornets",4
"631","2011-04","Charlotte.Hornets",6
"632","2011-05","Charlotte.Hornets",4
"633","2011-06","Charlotte.Hornets",4
"634","2011-07","Charlotte.Hornets",4
"635","2011-08","Charlotte.Hornets",3
"636","2011-09","Charlotte.Hornets",3
"637","2011-10","Charlotte.Hornets",3
"638","2011-11","Charlotte.Hornets",3
"639","2011-12","Charlotte.Hornets",7
"640","2012-01","Charlotte.Hornets",5
"641","2012-02","Charlotte.Hornets",6
"642","2012-03","Charlotte.Hornets",5
"643","2012-04","Charlotte.Hornets",8
"644","2012-05","Charlotte.Hornets",6
"645","2012-06","Charlotte.Hornets",8
"646","2012-07","Charlotte.Hornets",5
"647","2012-08","Charlotte.Hornets",3
"648","2012-09","Charlotte.Hornets",3
"649","2012-10","Charlotte.Hornets",3
"650","2012-11","Charlotte.Hornets",5
"651","2012-12","Charlotte.Hornets",10
"652","2013-01","Charlotte.Hornets",9
"653","2013-02","Charlotte.Hornets",6
"654","2013-03","Charlotte.Hornets",6
"655","2013-04","Charlotte.Hornets",7
"656","2013-05","Charlotte.Hornets",26
"657","2013-06","Charlotte.Hornets",10
"658","2013-07","Charlotte.Hornets",11
"659","2013-08","Charlotte.Hornets",7
"660","2013-09","Charlotte.Hornets",4
"661","2013-10","Charlotte.Hornets",7
"662","2013-11","Charlotte.Hornets",10
"663","2013-12","Charlotte.Hornets",28
"664","2014-01","Charlotte.Hornets",14
"665","2014-02","Charlotte.Hornets",9
"666","2014-03","Charlotte.Hornets",9
"667","2014-04","Charlotte.Hornets",15
"668","2014-05","Charlotte.Hornets",33
"669","2014-06","Charlotte.Hornets",56
"670","2014-07","Charlotte.Hornets",58
"671","2014-08","Charlotte.Hornets",24
"672","2014-09","Charlotte.Hornets",19
"673","2014-10","Charlotte.Hornets",50
"674","2014-11","Charlotte.Hornets",63
"675","2014-12","Charlotte.Hornets",51
"676","2015-01","Charlotte.Hornets",44
"677","2015-02","Charlotte.Hornets",35
"678","2015-03","Charlotte.Hornets",33
"679","2015-04","Charlotte.Hornets",23
"680","2015-05","Charlotte.Hornets",13
"681","2015-06","Charlotte.Hornets",29
"682","2015-07","Charlotte.Hornets",29
"683","2015-08","Charlotte.Hornets",15
"684","2015-09","Charlotte.Hornets",14
"685","2015-10","Charlotte.Hornets",36
"686","2015-11","Charlotte.Hornets",59
"687","2015-12","Charlotte.Hornets",59
"688","2016-01","Charlotte.Hornets",49
"689","2016-02","Charlotte.Hornets",49
"690","2016-03","Charlotte.Hornets",55
"691","2016-04","Charlotte.Hornets",100
"692","2016-05","Charlotte.Hornets",32
"693","2016-06","Charlotte.Hornets",25
"694","2016-07","Charlotte.Hornets",29
"695","2016-08","Charlotte.Hornets",13
"696","2016-09","Charlotte.Hornets",14
"697","2016-10","Charlotte.Hornets",26
